# noise_amp=10m driver_scale=2.5 mismatch MC data
vdd,seed,edyn,eword,sense_min,sense_max,sense_thresh_latency,comp_toggle_latency,comp_pass
0.9,1,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,2,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,3,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,4,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,5,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,6,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,7,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,8,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,9,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,10,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,11,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,12,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,13,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,14,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,16,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,17,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,18,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,19,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
0.9,20,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.0,16,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.0,17,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.0,18,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.0,19,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.0,20,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.1,16,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.1,17,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.1,18,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.1,19,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
1.1,20,3.10884e-13,3.34200e-12,8.600000e-01,9.003074e-01,1.249970e-13,failed,failed
