
Note: No compatibility mode selected!


Circuit: * spicemodels/option-b-encoder.spice

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                        0.9
pwr                                1.42855e-05
xenc0.b0b                                  0.9
b0                                           0
xenc0.b1b                                  0.9
b1                                           0
xenc0.b2b                                  0.9
b2                                           0
xenc0.xxnor01.t1                           0.9
xenc0.xxnor01.xn1.n2                       0.9
xenc0.xxnor01.t2                           0.9
xenc0.xxnor01.xn2.n1                0.00370083
xenc0.xxnor01.t2b                  8.72774e-09
xenc0.xxnor01.t3                           0.9
xenc0.xxnor01.xnand.n1                0.574901
xenc0.xnor01                       8.72774e-09
xenc0.xor01                                0.9
xenc0.xxnor20.t1                           0.9
xenc0.xxnor20.xn1.n2                       0.9
xenc0.xxnor20.t2                           0.9
xenc0.xxnor20.xn2.n1                0.00370083
xenc0.xxnor20.t2b                  8.72774e-09
xenc0.xxnor20.t3                           0.9
xenc0.xxnor20.xnand.n1                0.574904
xenc0.xnor20                       8.72774e-09
xenc0.xor20                                0.9
xenc0.nb2                                  0.9
xenc0.np                           1.10672e-08
xenc0.xnandp.n1                     5.5336e-09
xenc0.pos                                  0.9
xenc0.nb1                                  0.9
xenc0.nn                            3.4911e-08
xenc0.xnandn.n1                    1.74555e-08
xenc0.neg                                  0.9
xenc0.nneg                         8.72774e-09
xenc0.ntp                                  0.9
xenc0.xnandtp.n1                      0.611775
tp0                                8.72774e-09
xenc0.npos                         8.72774e-09
xenc0.ntn                                  0.9
xenc0.xnandtn.n1                      0.574903
tn0                                8.72774e-09
xenc1.b0b                                  0.9
xenc1.b1b                                  0.9
xenc1.b2b                                  0.9
xenc1.xxnor01.t1                           0.9
xenc1.xxnor01.xn1.n2                       0.9
xenc1.xxnor01.t2                           0.9
xenc1.xxnor01.xn2.n1                0.00370083
xenc1.xxnor01.t2b                  8.72774e-09
xenc1.xxnor01.t3                           0.9
xenc1.xxnor01.xnand.n1                0.574903
xenc1.xnor01                       8.72774e-09
xenc1.xor01                                0.9
xenc1.xxnor20.t1                           0.9
xenc1.xxnor20.xn1.n2                       0.9
xenc1.xxnor20.t2                           0.9
xenc1.xxnor20.xn2.n1                0.00370083
xenc1.xxnor20.t2b                  8.72774e-09
xenc1.xxnor20.t3                           0.9
xenc1.xxnor20.xnand.n1                0.574904
xenc1.xnor20                       8.72774e-09
xenc1.xor20                                0.9
xenc1.nb2                                  0.9
xenc1.np                           1.10672e-08
xenc1.xnandp.n1                     5.5336e-09
xenc1.pos                                  0.9
xenc1.nb1                                  0.9
xenc1.nn                            3.4911e-08
xenc1.xnandn.n1                    1.74555e-08
xenc1.neg                                  0.9
xenc1.nneg                         8.72774e-09
xenc1.ntp                                  0.9
xenc1.xnandtp.n1                      0.611773
tp1                                8.72774e-09
xenc1.npos                         8.72774e-09
xenc1.ntn                                  0.9
xenc1.xnandtn.n1                      0.574902
tn1                                8.72774e-09
xenc2.b0b                                  0.9
xenc2.b1b                                  0.9
xenc2.b2b                                  0.9
xenc2.xxnor01.t1                           0.9
xenc2.xxnor01.xn1.n2                       0.9
xenc2.xxnor01.t2                           0.9
xenc2.xxnor01.xn2.n1                0.00370083
xenc2.xxnor01.t2b                  8.72774e-09
xenc2.xxnor01.t3                           0.9
xenc2.xxnor01.xnand.n1                0.574904
xenc2.xnor01                       8.72774e-09
xenc2.xor01                                0.9
xenc2.xxnor20.t1                           0.9
xenc2.xxnor20.xn1.n2                       0.9
xenc2.xxnor20.t2                           0.9
xenc2.xxnor20.xn2.n1                0.00370083
xenc2.xxnor20.t2b                  8.72774e-09
xenc2.xxnor20.t3                           0.9
xenc2.xxnor20.xnand.n1                0.574902
xenc2.xnor20                       8.72774e-09
xenc2.xor20                                0.9
xenc2.nb2                                  0.9
xenc2.np                           1.10672e-08
xenc2.xnandp.n1                     5.5336e-09
xenc2.pos                                  0.9
xenc2.nb1                                  0.9
xenc2.nn                            3.4911e-08
xenc2.xnandn.n1                    1.74555e-08
xenc2.neg                                  0.9
xenc2.nneg                         8.72774e-09
xenc2.ntp                                  0.9
xenc2.xnandtp.n1                      0.611774
tp2                                8.72774e-09
xenc2.npos                         8.72774e-09
xenc2.ntn                                  0.9
xenc2.xnandtn.n1                      0.574903
tn2                                8.72774e-09
xenc3.b0b                                  0.9
xenc3.b1b                                  0.9
xenc3.b2b                                  0.9
xenc3.xxnor01.t1                           0.9
xenc3.xxnor01.xn1.n2                       0.9
xenc3.xxnor01.t2                           0.9
xenc3.xxnor01.xn2.n1                0.00370083
xenc3.xxnor01.t2b                  8.72774e-09
xenc3.xxnor01.t3                           0.9
xenc3.xxnor01.xnand.n1                0.574903
xenc3.xnor01                       8.72774e-09
xenc3.xor01                                0.9
xenc3.xxnor20.t1                           0.9
xenc3.xxnor20.xn1.n2                       0.9
xenc3.xxnor20.t2                           0.9
xenc3.xxnor20.xn2.n1                0.00370083
xenc3.xxnor20.t2b                  8.72774e-09
xenc3.xxnor20.t3                           0.9
xenc3.xxnor20.xnand.n1                0.574901
xenc3.xnor20                       8.72774e-09
xenc3.xor20                                0.9
xenc3.nb2                                  0.9
xenc3.np                           1.10672e-08
xenc3.xnandp.n1                     5.5336e-09
xenc3.pos                                  0.9
xenc3.nb1                                  0.9
xenc3.nn                            3.4911e-08
xenc3.xnandn.n1                    1.74555e-08
xenc3.neg                                  0.9
xenc3.nneg                         8.72774e-09
xenc3.ntp                                  0.9
xenc3.xnandtp.n1                      0.611773
tp3                                8.72774e-09
xenc3.npos                         8.72774e-09
xenc3.ntn                                  0.9
xenc3.xnandtn.n1                      0.574903
tn3                                8.72774e-09
xsense_shared.xor_p01.nor_ab               0.9
xsense_shared.xor_p01.xnor_or.n2             0.9
xsense_shared.orp01                8.72775e-09
xsense_shared.xor_p23.nor_ab               0.9
xsense_shared.xor_p23.xnor_or.n2             0.9
xsense_shared.orp23                8.72775e-09
xsense_shared.xor_p_all.nor_ab             0.9
xsense_shared.xor_p_all.xnor_or.n2             0.9
sharedsensep                       8.72775e-09
xsense_shared.xor_n01.nor_ab               0.9
xsense_shared.xor_n01.xnor_or.n2             0.9
xsense_shared.orn01                8.72775e-09
xsense_shared.xor_n23.nor_ab               0.9
xsense_shared.xor_n23.xnor_or.n2             0.9
xsense_shared.orn23                8.72775e-09
xsense_shared.xor_n_all.nor_ab             0.9
xsense_shared.xor_n_all.xnor_or.n2             0.9
sharedsensen                       8.72775e-09
sharedsensediff                    1.32119e-18
sharedsensep_noise                 8.72775e-09
sharedsensen_noise                 8.72775e-09
shareddrivep                               0.9
shareddriven                                 0
boostp_node                                0.9
boostn_node                                  0
clk                                          0
shareddrivediff                           0.86
comp_out                           0.000189465
xcomp.out_int                         0.360007
xcomp.mid                             0.371916
bdrivediff#branch                            0
bnoisen#branch                     1.58726e-05
bnoisep#branch                    -2.23546e-12
bdiff#branch                                 0
bpw#branch                                   0
vdd#branch                        -1.58728e-05
vb2#branch                                   0
vb1#branch                                   0
vb0#branch                                   0
vcomp_clk#branch                             0


No. of Data Rows : 8110

  Measurements for Transient Analysis


Error: measure  td_tp0  trig(TARG) : out of interval
 .meas tran td_tp0 trig v(b0) val=    4.500000000000000e-01     rise=1 targ v(tp0) val=    4.500000000000000e-01     rise=1 failed!


Error: measure  td_tn0  trig(TARG) : out of interval
 .meas tran td_tn0 trig v(b0) val=    4.500000000000000e-01     rise=1 targ v(tn0) val=    4.500000000000000e-01     rise=1 failed!


Error: measure  settle_tp0  trig(TRIG) : out of interval
 .meas tran settle_tp0 trig v(tp0) val=    9.000000000000001e-02     rise=1 targ v(tp0) val=    8.100000000000001e-01     rise=1 failed!


Error: measure  settle_tn0  trig(TRIG) : out of interval
 .meas tran settle_tn0 trig v(tn0) val=    8.100000000000001e-01     fall=1 targ v(tn0) val=    9.000000000000001e-02     fall=1 failed!


Error: measure  td_sharedp  trig(TARG) : out of interval
 .meas tran td_sharedp trig v(b0) val=    4.500000000000000e-01     rise=1 targ v(shareddrivep) val=    4.500000000000000e-01     rise=1 failed!


Error: measure  settle_sharedp  trig(TRIG) : out of interval
 .meas tran settle_sharedp trig v(shareddrivep) val=    9.000000000000001e-02     rise=1 targ v(shareddrivep) val=    8.100000000000001e-01     rise=1 failed!


Error: measure  comp_toggle_latency  trig(TRIG) : out of interval
 .meas tran comp_toggle_latency trig v(comp_out) val=    4.500000000000001e-02     rise=1 targ v(comp_out) val=    2.250000000000000e-01     rise=1 failed!

pavg                =  2.475093e-05 from=  5.000000e-09 to=  3.500050e-08
etotal              =   7.42547e-13 from=  5.00000e-09 to=  3.50000e-08
pleak               =  1.438879e-05 from=  3.000000e-08 to=  3.500050e-08
eleak_tail          =   7.19438e-14 from=  3.00000e-08 to=  3.50000e-08
eleak_est           =  4.31663e-13
edyn                =  3.10884e-13
eslice              =  7.77210e-14
eword_est           =  3.34200e-12
sense_headroom_min  =  8.600000e-01 at=  0.000000e+00
sense_headroom_max  =  9.003074e-01 at=  3.217250e-08
sense_diff_min      =  -5.163625e-07 at=  1.145750e-08
sense_diff_max      =  1.170710e-06 at=  1.192250e-08
sense_thresh_latency=  1.249970e-13 targ=  4.024899e-10 trig=  4.023649e-10
comp_out_max        =  1.972215e-04 at=  3.226250e-08
comp_out_min        =  1.825823e-04 at=  7.203500e-09
sharedsensep_max    =  2.351297e-07 at=  4.917500e-09
sharedsensen_min    =  -1.174396e-06 at=  1.191750e-08


Total analysis time (seconds) = 9.13009

Total elapsed time (seconds) = 14.088 

Total DRAM available = 8192.000 MB.
DRAM currently available =   91.672 MB.
Maximum ngspice program size =  291.094 MB.
Current ngspice program size =  291.094 MB.

